,Unnamed: 0,NLC,Origin TLC,Station Name,Government Office Region (GOR),County or Unitary Authority,District or Unitary Authority,NUTS2 Spatial_Unit Code,NUTS2 Spatial Unit,Station Facility Owner,Station Group,PTE Urban Area Station,London Travelcard Area,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,1112 Entries & Exits,"1011
Entries & Exits",Interchanges,Large station Flag,Small Station Flag,Explanation of large change,Sources,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,0,5131.0,ABW,Abbey Wood,London,Greater London,Greenwich,UKI2,Outer London,Southeastern,,,London Travelcard Area Station," 274,209 "," 385,670 "," 907,246 "," 1,567,125 "," 274,209 "," 385,670 "," 907,246 "," 1,567,125 "," 3,134,250 "," 3,030,212 ",  ,0.0,0.0,,,,,,
1,1,3813.0,ABE,Aber,Wales - Cymru,Caerphilly - Caerffili,Caerphilly - Caerffili,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 48,670 "," 4,840 "," 48,206 "," 101,716 "," 48,670 "," 4,840 "," 48,206 "," 101,716 "," 203,432 "," 202,486 ",  ,0.0,0.0,,,,,,
2,2,3801.0,ACY,Abercynon,Wales - Cymru,Rhondda Cynon Taff - Rhondda Cynon Taf,Rhondda Cynon Taff - Rhondda Cynon Taf,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 77,668 "," 5,162 "," 37,205 "," 120,035 "," 77,668 "," 5,162 "," 37,205 "," 120,035 "," 240,070 "," 214,492 "," 35,304 ",1.0,0.0,Continues high growth from previous year,,,,,
3,3,3982.0,ABA,Aberdare,Wales - Cymru,Rhondda Cynon Taff - Rhondda Cynon Taf,Rhondda Cynon Taff - Rhondda Cynon Taf,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 164,322 "," 17,852 "," 86,597 "," 268,771 "," 164,322 "," 17,852 "," 86,597 "," 268,771 "," 537,542 "," 524,592 ",  ,0.0,0.0,,,,,,
4,4,8976.0,ABD,Aberdeen,Scotland,Aberdeen City,Aberdeen City,UKM1,North Eastern Scotland,First ScotRail,,,," 500,505 "," 829,684 "," 255,043 "," 1,585,232 "," 500,505 "," 829,684 "," 255,043 "," 1,585,232 "," 3,170,464 "," 2,964,302 "," 197,040 ",0.0,0.0,,,,,,
5,5,9090.0,AUR,Aberdour,Scotland,Fife,Fife,UKM2,Eastern Scotland,First ScotRail,,,," 17,111 "," 28,486 "," 17,403 "," 63,000 "," 17,111 "," 28,486 "," 17,403 "," 63,000 "," 126,000 "," 129,786 ",  ,0.0,0.0,,,,,,
6,6,4435.0,AVY,Aberdovey,Wales - Cymru,Gwynedd - Gwynedd,Gwynedd - Gwynedd,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 12,855 "," 5,493 ", -   ," 18,348 "," 12,855 "," 5,493 ", -   ," 18,348 "," 36,696 "," 32,190 ",  ,1.0,0.0,Continues high growth from previous year,,,,,
7,7,4440.0,ABH,Abererch,Wales - Cymru,Gwynedd - Gwynedd,Gwynedd - Gwynedd,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,, 631 , 262 , -   , 893 , 631 , 262 , -   , 893 ," 1,786 "," 1,620 ",  ,0.0,0.0,,,,,,
8,8,3602.0,AGV,Abergavenny,Wales - Cymru,Monmouthshire - Sir Fynwy,Monmouthshire - Sir Fynwy,UKL2,East Wales,Arriva Trains Wales,,,," 92,694 "," 64,040 "," 28,997 "," 185,731 "," 92,694 "," 64,040 "," 28,997 "," 185,731 "," 371,462 "," 357,326 ",  ,0.0,0.0,,,,,,
10,10,4303.0,AYW,Aberystwyth,Wales - Cymru,Ceredigion - Sir Ceredigion,Ceredigion - Sir Ceredigion,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 67,741 "," 95,046 ", 350 ," 163,137 "," 67,741 "," 95,046 ", 350 ," 163,137 "," 326,274 "," 310,870 ",  ,0.0,0.0,,,,,,
11,11,2552.0,ACR,Accrington,North West,Lancashire,Hyndburn,UKD4,Lancashire,Northern Rail,,,," 109,357 "," 38,542 "," 24,934 "," 172,833 "," 109,357 "," 38,542 "," 24,934 "," 172,833 "," 345,666 "," 313,382 ",  ,1.0,0.0,Continues high growth from previous year,,,,,
12,12,8600.0,AAT,Achanalt,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,, 57 , 24 , -   , 81 , 57 , 24 , -   , 81 , 162 , 200 ,  ,0.0,0.0,,,,,,
13,13,8601.0,ACN,Achnasheen,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,," 1,111 ", 888 , -   ," 1,999 "," 1,111 ", 888 , -   ," 1,999 "," 3,998 "," 3,698 ",  ,0.0,0.0,,,,,,
14,14,8602.0,ACH,Achnashellach,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,, 352 , 190 , -   , 542 , 352 , 190 , -   , 542 ," 1,084 ", 738 ,  ,0.0,1.0,Very small absolute number of entries and exits,,,,,
15,15,7662.0,ACK,Acklington,North East,Northumberland,Alnwick,UKC2,Northumberland and Tyne and Wear,Northern Rail,,,, 81 , 15 , -   , 96 , 81 , 15 , -   , 96 , 192 , 108 ,  ,0.0,1.0,Very small absolute number of entries and exits,,,,,
16,16,7286.0,ACL,Acle,East,Norfolk,Broadland,UKH1,East Anglia,National Express East Anglia,,,," 9,195 "," 13,056 "," 4,047 "," 26,298 "," 9,195 "," 13,056 "," 4,047 "," 26,298 "," 52,596 "," 48,170 ",  ,0.0,0.0,,,,,,
17,17,4529.0,ACG,Acocks Green,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,,West Midlands,," 43,830 "," 68,075 "," 74,258 "," 186,163 "," 43,830 "," 68,075 "," 74,258 "," 186,163 "," 372,326 "," 381,938 ",  ,0.0,0.0,,,,,,
