NLC,TLC,Station Name,Region,Entries and exits - Full price tickets, Entries and exits - Reduced price tickets,Entries and exits - Season tickets,1819 Entries and exits
5131,ABW,Abbey Wood,London,882924,1233842,1652636,3769402
3813,ABE,Aber,Wales - Cymru,107666,5218,132334,245218
3801,ACY,Abercynon,Wales - Cymru,155766,6418,126824,289008
3982,ABA,Aberdare,Wales - Cymru,310936,23770,221074,555780
8976,ABD,Aberdeen,Scotland,840086,1485608,290448,2616142
9090,AUR,Aberdour,Scotland,41058,66850,32140,140048
4435,AVY,Aberdovey,Wales - Cymru,27302,13078,10,40390
4440,ABH,Abererch,Wales - Cymru,1614,614,,2228
3602,AGV,Abergavenny,Wales - Cymru,220540,127650,85144,433334
4303,AYW,Aberystwyth,Wales - Cymru,138144,169992,1284,309420
2552,ACR,Accrington,North West,125312,219856,77638,422806
8600,AAT,Achanalt,Scotland,318,76,,394
8601,ACN,Achnasheen,Scotland,1778,1506,,3284
8602,ACH,Achnashellach,Scotland,552,268,,820
7662,ACK,Acklington,North East,250,70,,320
7286,ACL,Acle,East,13786,23102,8448,45336
4529,ACG,Acocks Green,West Midlands,141074,166984,233752,541810
1404,ACC,Acton Central,London,578928,776120,532114,1887162
3000,AML,Acton Main Line,London,103344,105934,101684,310962
1036,ADD,Adderley Park,West Midlands,37726,29670,48330,115726
9310,ADW,Addiewell,Scotland,4850,8674,4116,17640
5550,ASN,Addlestone,South East,140320,117022,174518,431860
5160,ADM,Adisham,South East,8306,10136,9158,27600
2939,ADC,Adlington (Cheshire),North West,15704,9718,5968,31390
2641,ADL,Adlington (Lancashire),North West,29412,32950,40284,102646
8353,AWK,Adwick,Yorkshire And The Humber,75464,45108,50218,170790
2255,AIG,Aigburth,North West,203518,347660,313060,864238
2350,ANS,Ainsdale,North West,199220,570274,246748,1016242
2125,AIN,Aintree,North West,202720,496788,476412,1175920
9695,AIR,Airbles,Scotland,32358,55520,26564,114442
9759,ADR,Airdrie,Scotland,251942,482128,363942,1098012
5132,AYP,Albany Park,London,306400,246558,453988,1006946
4614,ALB,Albrighton,West Midlands,32388,36958,32202,101548
2760,ALD,Alderley Edge,North West,137100,86982,73388,297470
3145,AMT,Aldermaston,South East,17154,28626,28162,73942
5623,AHT,Aldershot,South East,407388,532524,427340,1367252
5280,AGT,Aldrington,South East,53408,89028,64532,206968
6025,AAP,Alexandra Palace,London,533996,770112,539540,1843648
9905,AXP,Alexandra Parade,Scotland,80548,224636,113584,418768
9861,ALX,Alexandria,Scotland,57328,125312,61738,244378
1805,ALF,Alfreton,East Midlands,123200,155966,35298,314464
9883,ALO,Alloa,Scotland,98326,200938,71188,370452
8605,ASS,Alness,Scotland,23684,4882,1860,30426
7787,ALM,Alnmouth,North East,67702,249346,27554,344602
1223,ASG,Alsager,North West,66630,29368,20448,116446
