Station name,Entries and exits - Full price tickets, Entries and exits - Reduced price tickets,Entries and exits - Season tickets,2021 Entries and exits,NLC,TLC,Region
Abbey Wood,"384,066","607,204","421,368","1,412,638",5131,ABW,London
Aber,"8,710",298,"6,704","15,712",3813,ABE,Wales
Abercynon,"23,930",564,"8,512","33,006",3801,ACY,Wales
Aberdare,"32,152","2,132","19,384","53,668",3982,ABA,Wales
Aberdeen,"112,488","237,572","43,922","393,982",8976,ABD,Scotland
Aberdour,"5,230","8,260","1,236","14,726",9090,AUR,Scotland
Aberdovey,"4,446",950,0,"5,396",4435,AVY,Wales
Abererch,0,0,0,0,4440,ABH,Wales
Abergavenny,"38,666","16,666","46,684","102,016",3602,AGV,Wales
Aberystwyth,"21,794","19,556",80,"41,430",4303,AYW,Wales
Accrington,"28,522","70,998","19,690","119,210",2552,ACR,North West
Achanalt,24,2,0,26,8600,AAT,Scotland
Achnasheen,336,284,0,620,8601,ACN,Scotland
Achnashellach,76,54,0,130,8602,ACH,Scotland
Acklington,48,18,0,66,7662,ACK,North East
Acle,"3,014","4,702",762,"8,478",7286,ACL,East of England
Acocks Green,"34,592","51,570","52,722","138,884",4529,ACG,West Midlands
Acton Central,"231,964","372,180","122,908","727,052",1404,ACC,London
Acton Main Line,"39,046","65,904","21,004","125,954",3000,AML,London
Adderley Park,"14,730","12,162","15,334","42,226",1036,ADD,West Midlands
Addiewell,786,918,58,"1,762",9310,ADW,Scotland
Addlestone,"37,562","32,414","26,230","96,206",5550,ASN,South East
Adisham,"2,328","2,354","2,686","7,368",5160,ADM,South East
Adlington (Cheshire),"2,488","2,120",506,"5,114",2939,ADC,North West
Adlington (Lancashire),"8,086","16,654","4,804","29,544",2641,ADL,North West
Adwick,"12,900","7,348","6,286","26,534",8353,AWK,Yorkshire and The Humber
Aigburth,"42,972","107,262","52,800","203,034",2255,AIG,North West
Ainsdale,"80,756","189,876","50,750","321,382",2350,ANS,North West
Aintree,"69,970","162,034","69,628","301,632",2125,AIN,North West
Airbles,"2,898","6,478","4,724","14,100",9695,AIR,Scotland
Airdrie,"31,208","55,160","35,128","121,496",9759,ADR,Scotland
Albany Park,"75,944","87,420","49,680","213,044",5132,AYP,London
Albrighton,"5,118","5,488","6,280","16,886",4614,ALB,West Midlands
Alderley Edge,"30,644","22,524","19,180","72,348",2760,ALD,North West
Aldermaston,"4,252","9,128","5,242","18,622",3145,AMT,South East
Aldershot,"127,640","149,516","87,688","364,844",5623,AHT,South East
Aldrington,"18,328","27,736","12,218","58,282",5280,AGT,South East
Alexandra Palace,"133,760","207,262","68,012","409,034",6025,AAP,London
Alexandra Parade,"14,284","40,232","5,358","59,874",9905,AXP,Scotland
Alexandria,"4,648","10,358","11,074","26,080",9861,ALX,Scotland
Alfreton,"22,928","34,178","4,584","61,690",1805,ALF,East Midlands
Alloa,"20,078","40,342","10,312","70,732",9883,ALO,Scotland
Alness,"2,054",828,338,"3,220",8605,ASS,Scotland
Alnmouth,"9,466","46,624","5,132","61,222",7787,ALM,North East
Alsager,"19,516","3,464","4,592","27,572",1223,ASG,North West
Althorpe,778,952,318,"2,048",6532,ALP,Yorkshire and The Humber
Altnabreac,42,4,0,46,8606,ABC,Scotland
Alton,"39,126","48,060","46,210","133,396",5544,AON,South East
Altrincham,"19,328","21,124","28,716","69,168",2806,ALT,North West
Alvechurch,"14,632","6,090","11,696","32,418",1198,ALV,West Midlands
Ambergate,"4,722","3,724",510,"8,956",1678,AMB,East Midlands
Amberley,"4,338","10,024","2,722","17,084",5250,AMY,South East
Amersham,"172,588","237,346","40,768","450,702",506,AMR,South East
Ammanford,418,138,0,556,4236,AMF,Wales
Ancaster,"1,240",188,370,"1,798",6358,ANC,East Midlands
Anderston,"37,646","54,120","28,176","119,942",9965,AND,Scotland
Andover,"63,038","117,256","87,326","267,620",5510,ADV,South East
Anerley,"107,500","172,658","45,128","325,286",5397,ANZ,London
Angmering,"65,128","134,664","90,762","290,554",5267,ANG,South East
Annan,"1,090","15,060",298,"16,448",9451,ANN,Scotland
Anniesland,"37,982","98,776","36,346","173,104",9972,ANL,Scotland
Appleby,"1,920","8,858",454,"11,232",2052,APP,North West
Appleford,582,698,488,"1,768",3109,APF,South East
Appley Bridge,"8,662","20,854","9,490","39,006",2396,APB,North West
Apsley,"41,266","48,554","28,254","118,074",1430,APS,East of England
Arbroath,"19,762","26,932","6,364","53,058",9079,ARB,Scotland
Ardgay,480,114,30,624,8613,ARD,Scotland
Ardlui,660,204,0,864,9962,AUI,Scotland
Ardrossan Harbour,"7,578","5,488",62,"13,128",9453,ADS,Scotland
Ardrossan South Beach,"6,364","14,202","3,104","23,670",9569,ASB,Scotland
Ardrossan Town,618,"1,230",424,"2,272",9455,ADN,Scotland
Ardwick,188,44,6,238,2960,ADK,North West
Argyle Street,"75,354","256,386","50,276","382,016",9961,AGS,Scotland
Arisaig,412,660,0,"1,072",8821,ARG,Scotland
Arlesey,"44,976","65,626","42,234","152,836",6171,ARL,East of England
Armathwaite,274,"1,364",62,"1,700",2054,AWT,North West
Arnside,"3,820","22,442","2,502","28,764",1963,ARN,North West
