Station Name,Entries and exits - Full price tickets, Entries and exits - Reduced price tickets,Entries and exits - Season tickets,2122 Entries and exits,NLC,TLC,Region
Abbey Wood,"776,912","1,203,534","658,010","2,638,456",5131,ABW,London
Aber,"53,328","2,286","18,028","73,642",3813,ABE,Wales
Abercynon,"82,314","2,788","20,720","105,822",3801,ACY,Wales
Aberdare,"127,684","7,746","41,920","177,350",3982,ABA,Wales
Aberdeen,"377,336","1,068,760","90,624","1,536,720",8976,ABD,Scotland
Aberdour,"20,356","39,162","3,472","62,990",9090,AUR,Scotland
Aberdovey,"16,912","5,974",0,"22,886",4435,AVY,Wales
Abererch,298,98,0,396,4440,ABH,Wales
Abergavenny,"139,604","85,586","58,754","283,944",3602,AGV,Wales
Aberystwyth,"76,598","93,646","1,018","171,262",4303,AYW,Wales
Accrington,"97,800","241,050","46,754","385,604",2552,ACR,North West
Achanalt,284,58,0,342,8600,AAT,Scotland
Achnasheen,"1,332","1,016",72,"2,420",8601,ACN,Scotland
Achnashellach,432,218,0,650,8602,ACH,Scotland
Acklington,282,42,0,324,7662,ACK,North East
Acle,"11,974","18,924","2,744","33,642",7286,ACL,East of England
Acocks Green,"85,500","119,802","66,252","271,554",4529,ACG,West Midlands
Acton Central,"441,388","690,174","201,228","1,332,790",1404,ACC,London
Acton Main Line,"101,384","178,524","41,168","321,076",3000,AML,London
Adderley Park,"35,450","24,926","13,880","74,256",1036,ADD,West Midlands
Addiewell,"4,708","5,194","1,324","11,226",9310,ADW,Scotland
Addlestone,"92,242","95,590","51,358","239,190",5550,ASN,South East
Adisham,"5,844","8,336","5,284","19,464",5160,ADM,South East
Adlington (Cheshire),"8,156","7,294","1,834","17,284",2939,ADC,North West
Adlington (Lancashire),"24,450","43,640","12,724","80,814",2641,ADL,North West
Adwick,"43,592","47,100","18,312","109,004",8353,AWK,Yorkshire and The Humber
Aigburth,"116,090","248,362","119,036","483,488",2255,AIG,North West
Ainsdale,"164,300","466,724","137,004","768,028",2350,ANS,North West
Aintree,"148,034","395,156","182,718","725,908",2125,AIN,North West
Airbles,"19,340","33,486","11,342","64,168",9695,AIR,Scotland
Airdrie,"137,322","261,222","78,118","476,662",9759,ADR,Scotland
Albany Park,"203,242","222,032","84,352","509,626",5132,AYP,London
Albrighton,"20,582","25,460","10,036","56,078",4614,ALB,West Midlands
Alderley Edge,"92,752","69,996","34,268","197,016",2760,ALD,North West
Aldermaston,"9,344","25,630","10,030","45,004",3145,AMT,South East
Aldershot,"263,806","469,698","154,868","888,372",5623,AHT,South East
Aldrington,"38,620","62,764","21,256","122,640",5280,AGT,South East
Alexandra Palace,"324,556","522,604","122,212","969,372",6025,AAP,London
Alexandra Parade,"55,440","131,434","12,868","199,742",9905,AXP,Scotland
Alexandria,"31,632","55,458","24,344","111,434",9861,ALX,Scotland
Alfreton,"77,120","156,800","11,990","245,910",1805,ALF,East Midlands
Alloa,"62,136","174,852","22,006","258,994",9883,ALO,Scotland
Alness,"11,952","2,248","1,610","15,810",8605,ASS,Scotland
Alnmouth,"25,766","251,064","9,052","285,882",7787,ALM,North East
Alsager,"53,286","19,756","4,142","77,184",1223,ASG,North West
Althorpe,"1,638","2,088",762,"4,488",6532,ALP,Yorkshire and The Humber
Altnabreac,208,22,0,230,8606,ABC,Scotland
Alton,"108,072","183,120","95,690","386,882",5544,AON,South East
Altrincham,"69,924","100,594","51,618","222,136",2806,ALT,North West
Alvechurch,"40,852","25,754","24,518","91,124",1198,ALV,West Midlands
Ambergate,"12,524","14,230","1,098","27,852",1678,AMB,East Midlands
Amberley,"12,714","26,614","4,990","44,318",5250,AMY,South East
Amersham,"446,908","633,760","59,672","1,140,340",506,AMR,South East
Ammanford,"4,854","2,494",0,"7,348",4236,AMF,Wales
Ancaster,"4,268",664,"1,228","6,160",6358,ANC,East Midlands
Anderston,"65,164","99,358","53,124","217,646",9965,AND,Scotland
Andover,"133,754","432,502","143,056","709,312",5510,ADV,South East
Anerley,"247,176","396,464","84,090","727,730",5397,ANZ,London
Angmering,"141,058","349,352","186,800","677,210",5267,ANG,South East
Annan,"7,220","73,362","1,252","81,834",9451,ANN,Scotland
Anniesland,"150,546","342,144","72,118","564,808",9972,ANL,Scotland
Appleby,"7,060","38,684","1,732","47,476",2052,APP,North West
Appleford,"2,084","2,420",832,"5,336",3109,APF,South East
Appley Bridge,"31,616","76,964","19,082","127,662",2396,APB,North West
Apsley,"112,232","156,748","57,914","326,894",1430,APS,East of England
Arbroath,"77,582","140,030","11,752","229,364",9079,ARB,Scotland
Ardgay,"3,262",558,148,"3,968",8613,ARD,Scotland
Ardlui,"2,130",924,0,"3,054",9962,AUI,Scotland
Ardrossan Harbour,"32,568","25,984",42,"58,594",9453,ADS,Scotland
Ardrossan South Beach,"29,940","78,232","10,496","118,668",9569,ASB,Scotland
Ardrossan Town,"3,008","6,870","1,050","10,928",9455,ADN,Scotland
Ardwick,316,76,12,404,2960,ADK,North West
Argyle Street,"149,266","544,218","79,670","773,154",9961,AGS,Scotland
Arisaig,"2,004","1,798",0,"3,802",8821,ARG,Scotland
Arlesey,"131,304","203,482","72,236","407,022",6171,ARL,East of England
Armathwaite,"1,174","5,686",128,"6,988",2054,AWT,North West
Arnside,"13,532","82,700","3,802","100,034",1963,ARN,North West
Arram,276,418,44,738,8045,ARR,Yorkshire and The Humber
Arundel,"35,116","119,354","54,210","208,680",5251,ARU,South East
Ascott-Under-Wychwood,944,86,132,"1,162",3003,AUW,South East
Ash,"45,886","84,446","29,700","160,032",5641,ASH,South East
Ash Vale,"77,132","104,382","45,502","227,016",5547,AHV,South East
Ashburys,"33,636","20,688","11,178","65,502",2941,ABY,North West
Ashfield,"11,068","31,382","2,780","45,230",9953,ASF,Scotland
Ashford International,"515,534","1,334,850","806,538","2,656,922",5004,AFK,South East
Ashley,"2,380","2,420","1,866","6,666",2850,ASY,North West
Ashtead,"237,760","283,612","175,450","696,822",5347,AHD,South East
Ashton-Under-Lyne,"60,886","76,958","30,180","168,024",2790,AHN,North West
Ashurst New Forest,"15,496","45,616","13,454","74,566",5906,ANF,South East
Askam,"15,000","29,798","6,818","51,616",1953,ASK,North West
Aslockton,"6,838","6,618","2,458","15,914",6233,ALK,East Midlands
Aspatria,"8,508","15,804","1,650","25,962",2095,ASP,North West
Aspley Guise,832,"1,136","2,178","4,146",1380,APG,East of England
Aston,"147,282","162,870","77,854","388,006",1004,AST,West Midlands
Atherstone,"39,938","50,148","5,032","95,118",1074,ATH,West Midlands
Atherton,"65,082","76,160","38,618","179,860",2584,ATN,North West
Attadale,588,176,0,764,8608,ATT,Scotland
Attenborough,"34,344","8,924","3,666","46,934",1624,ATB,East Midlands
Attleborough,"49,298","60,276","22,344","131,918",7367,ATL,East of England
Auchinleck,"12,966","21,458",900,"35,324",9457,AUK,Scotland
Audley End,"111,674","246,454","144,516","502,644",7017,AUD,East of England
Aughton Park,"24,488","60,412","27,292","112,192",2215,AUG,North West
Aviemore,"34,142","55,832","2,266","92,240",8610,AVM,Scotland
Avoncliff,"8,956","8,436","1,420","18,812",3265,AVF,South West
Avonmouth,"65,754","6,434","16,144","88,332",3200,AVN,South West
Axminster,"22,558","207,728","73,556","303,842",5714,AXM,South West
Aylesbury,"253,394","291,268","198,280","742,942",1492,AYS,South East
Aylesbury Vale Parkway,"29,558","33,766","23,572","86,896",1090,AVP,South East
Aylesford,"42,444","32,592","42,780","117,816",5162,AYL,South East
Aylesham,"28,540","36,528","31,924","96,992",5197,AYH,South East
Ayr,"224,376","445,952","55,634","725,962",9463,AYR,Scotland
Bache,"92,390","200,066","15,414","307,870",2187,BAC,North West
Baglan,"12,620","1,952","3,208","17,780",4186,BAJ,Wales
Bagshot,"33,890","38,626","12,928","85,444",5681,BAG,South East
Baildon,"66,952","52,802","87,020","206,774",8552,BLD,Yorkshire and The Humber
Baillieston,"29,074","48,520","15,466","93,060",9763,BIO,Scotland
Balcombe,"35,666","64,456","23,382","123,504",5492,BAB,South East
Baldock,"122,878","205,092","59,200","387,170",6084,BDK,East of England
Balham,"1,099,482","1,650,784","938,492","3,688,758",5399,BAL,London
Balloch,"72,590","178,870","27,440","278,900",9862,BHC,Scotland
Balmossie,690,128,354,"1,172",9013,BSI,Scotland
Bamber Bridge,"19,124","38,072","10,782","67,978",2561,BMB,North West
Bamford,"14,070","31,394",56,"45,520",2820,BAM,East Midlands
Banavie,"1,874","2,354",0,"4,228",8839,BNV,Scotland
Banbury,"502,488","1,206,318","176,642","1,885,448",4502,BAN,South East
Bangor (Gwynedd),"145,268","284,924","14,598","444,790",2471,BNG,Wales
Bank Hall,"33,456","73,272","78,112","184,840",2238,BAH,North West
Banstead,"36,708","44,920","12,948","94,576",5348,BAD,South East
Barassie,"23,616","46,252","9,666","79,534",9466,BSS,Scotland
Bardon Mill,"1,800","5,690",0,"7,490",7563,BLL,North East
Bare Lane,"14,882","31,032","45,726","91,640",2690,BAR,North West
Bargeddie,"17,872","32,288","6,802","56,962",9764,BGI,Scotland
Bargoed,"75,272","3,794","20,474","99,540",4011,BGD,Wales
Barking,"3,444,858","5,430,746","2,356,246","11,231,850",7492,BKG,London
Barming,"42,040","92,864","25,228","160,132",5133,BMG,South East
Barmouth,"68,842","23,216","32,838","124,896",4445,BRM,Wales
Barnehurst,"277,812","365,168","164,222","807,202",5089,BNH,London
Barnes,"547,504","773,524","405,718","1,726,746",5551,BNS,London
Barnes Bridge,"203,148","280,164","120,308","603,620",5580,BNI,London
Barnetby,"6,314","32,520","3,448","42,282",6406,BTB,Yorkshire and The Humber
Barnham,"165,916","289,608","390,854","846,378",5252,BAA,South East
Barnhill,"13,436","23,556","5,568","42,560",9973,BNL,Scotland
Barnsley,"398,256","450,026","184,772","1,033,054",6774,BNY,Yorkshire and The Humber
Barnstaple,"57,824","258,966","106,386","423,176",5725,BNP,South West
Barnt Green,"69,396","52,870","71,014","193,280",1096,BTG,West Midlands
Barrhead,"100,654","172,166","76,512","349,332",9674,BRR,Scotland
Barrhill,"1,336","1,946",148,"3,430",9467,BRL,Scotland
Barrow Haven,368,422,0,790,6212,BAV,Yorkshire and The Humber
Barrow-In-Furness,"112,898","359,214","50,070","522,182",1954,BIF,North West
Barrow-Upon-Soar,"25,204","21,570","11,914","58,688",1903,BWS,East Midlands
Barry,"255,722","17,512","75,912","349,146",3805,BRY,Wales
Barry Docks,"124,228","5,392","39,882","169,502",3806,BYD,Wales
Barry Island,"215,790","19,086","68,808","303,684",3807,BYI,Wales
Barry Links,178,66,0,244,9020,BYL,Scotland
Barton-On-Humber,"7,956","12,060",322,"20,338",6207,BAU,Yorkshire and The Humber
Basildon,"813,504","640,338","569,682","2,023,524",7494,BSO,East of England
Basingstoke,"802,502","2,319,376","540,330","3,662,208",5520,BSK,South East
Bath Spa,"708,934","3,135,652","241,118","4,085,704",3271,BTH,South West
Bathgate,"196,906","329,112","74,456","600,474",9311,BHG,Scotland
Batley,"103,528","90,576","46,778","240,882",8484,BTL,Yorkshire and The Humber
Battersby,360,"1,632",744,"2,736",7909,BTT,Yorkshire and The Humber
Battersea Park,"346,500","514,462","355,938","1,216,900",5420,BAK,London
Battle,"63,730","190,916","86,140","340,786",5215,BAT,South East
Battlesbridge,"5,874","6,626","6,212","18,712",6870,BLB,East of England
Bayford,"12,536","19,412","2,590","34,538",6006,BAY,East of England
Beaconsfield,"279,038","312,154","135,890","727,082",3047,BCF,South East
